23 Sektor;Nama Perusahaan;Deskripsi KBLI;Kabkot;Investasi;Negara;Proyek;TKI;TKA;Periode
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;BORNEO ALUMINDO PRIMA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;53.556.441;Hongkong, RRT;1;435;218;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;SUPREME ALUMINA INDONESIA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Ketapang;52.101.110;Singapura;1;0;0;TW 1
Kehutanan;MAYAWANA PERSADA;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Kayong Utara;14.039.613;Malaysia;1;637;0;TW 1
Perdagangan dan Reparasi;TINTIN BOYOK SAWIT MAKMUR;(46202) Perdagangan Besar Buah Yang Mengandung Minyak;Kabupaten Sekadau;10.657.594;Korea Selatan;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;TINTIN BOYOK SAWIT MAKMUR DUA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Sanggau;10.112.733;Korea Selatan;1;185;1;TW 1
Perumahan, Kawasan Industri dan Perkantoran;KETAPANG BANGUN SARANA;(68130) Kawasan Industri;Kabupaten Ketapang;7.930.239;Singapura;1;0;0;TW 1
Transportasi, Gudang dan Telekomunikasi;XLSMART TELECOM SEJAHTERA;(61200) Aktivitas Telekomunikasi Tanpa Kabel;Kota Pontianak;5.899.003;Malaysia;1;0;0;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;KAYONG ALUMINIUM NUSANTARA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Kayong Utara;5.873.021;Hongkong, RRT;1;14;0;TW 1
Industri Makanan;MITRA KARYA SENTOSA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;3.946.927;Singapura;1;3;0;TW 1
Industri Logam Dasar, Barang Logam, Bukan Mesin dan Peralatannya;KALIMANTAN ALUMINA NUSANTARA;(24202) Industri Pembuatan Logam Dasar Bukan Besi;Kabupaten Sanggau;3.150.101;Hongkong, RRT;1;13;4;TW 1
Industri Makanan;HILTON DUTA LESTARI;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Landak;2.587.051;Singapura;1;21;1;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;GUNAJAYA KETAPANG SENTOSA;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;2.274.047;Singapura;1;0;0;TW 1
Industri Makanan;GUNAJAYA KARYA GEMILANG;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;2.105.611;Singapura;1;0;0;TW 1
Industri Makanan;AGRO SEJAHTERA MANUNGGAL;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Ketapang;2.088.962;Singapura;1;0;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;HARAPAN SAWIT LESTARI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.494.822;Singapura;1;76;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;SANDAI MAKMUR SAWIT;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.480.618;Malaysia;1;0;0;TW 1
Kehutanan;HUTAN KETAPANG INDUSTRI;(02111) Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi;Kabupaten Ketapang;1.466.554;Singapura;1;12;0;TW 1
Industri Makanan;SASMITA BUMI WIJAYA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Sanggau;1.255.751;Malaysia;1;109;0;TW 1
Tanaman Pangan, Perkebunan, dan Peternakan;PRAKARSA TANI SEJATI;(01262) Perkebunan Buah Kelapa Sawit;Kabupaten Ketapang;1.006.063;Singapura;1;5;0;TW 1
Industri Makanan;SENTOSA BUMI WIJAYA;(10431) Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil);Kabupaten Bengkayang;970.658;Malaysia;1;112;0;TW 1
;;;;;;20;1622;224;
